263.7	5.0	556.7	7.1	791.7	7.7	731.0	8.0	983.3	13.0	485.4	7.0	837.1	9.4
130.8	3.5	552.5	6.7	610.0	6.3	710.0	7.3	958.8	13.3	395.4	6.0	901.2	10.6
382.9	4.7	397.5	5.6	710.0	8.6	604.7	7.2	747.8	10.7	465.4	7.1	595.7	9.0
302.5	4.3	532.3	8.1	940.7	11.8	508.8	6.1	866.0	12.2	371.4	5.3	510.0	7.6
213.3	3.8	587.8	8.7	990.0	12.4	393.0	6.4	810.8	11.6	402.0	6.2		
132.1	3.0	520.9	8.3	916.2	12.0	416.0	6.4	950.0	9.7	371.9	5.8		
292.0	4.2	574.3	8.4	835.0	11.4	400.0	6.9	1282.0	10.8	430.0	6.6		
315.5	4.5	505.0	7.3	724.3	10.4	335.6	5.8	1233.8	10.1	380.0	6.6		
262.4	4.3	604.6	8.5	611.1	9.2	306.4	5.3	1660.0	12.7				
314.4	4.1	522.5	7.8	621.7	9.0	426.0	6.7	746.0	9.8				
310.8	5.5	555.0	8.0	735.4	9.5	382.5	5.8	650.0	10.0				
280.8	4.8	561.1	8.4	990.0	12.5	340.8	5.7	992.5	13.8				
331.7	4.8	862.7	11.7	436.7	6.1	896.7	13.3						
672.5	8.0	333.3	6.2	873.9	12.4								
496.0	7.4	382.3	6.3	924.4	12.2								
311.9	5.2	397.7	6.0	1050.0	14.1								
276.7	4.7	619.1	6.8	973.3	13.7								
325.7	5.4	857.3	7.9										
310.8	5.4	592.5	7.2										
288.0	5.4												
269.3	4.9												
