1.0	6.4	19.2	54.2	88.4	114.8
1.2	6.8	28.1	55.6	89.9	115.1
1.3	6.9	28.2	56.4	90.8	117.4
2.0	7.2	29.0	58.3	91.1	118.3
2.4	7.9	29.9	60.2	91.5	119.7
2.9	8.3	30.6	63.7	92.1	120.6
3.0	8.7	32.4	64.6	97.9	121.0
3.1	9.2	33.0	65.3	100.8	122.9
3.3	9.8	35.3	66.2	102.6	123.3
3.5	10.2	36.1	70.1	103.2	124.5
3.8	10.4	40.1	71.0	104.0	125.8
4.3	11.9	42.8	75.1	104.3	126.6
4.6	13.8	43.7	75.6	105.0	127.7
4.7	14.4	44.5	78.4	105.8	128.4
4.8	15.6	50.4	79.2	106.5	129.2
5.2	16.2	51.2	84.1	110.7	129.5
5.4	17.0	52.0	86.0	112.6	129.9
5.9	17.5	53.3	87.9	113.5	
