13	30	62	176	81	12	11
76	19	120	87	16	39	10
13	19	164	10	11	27	12
12	20	101	10	33	52	16
142	26	25	112	119	13	22
22	38	48	139	25	13	57
13	19	74	290	14	14	12
10	70	37	13	10	27	13
13	26	13	57	75	10	15
47	11	32	20	168	45	15
16	27	43	63	27	11	104
59	34	20	19	136	27	21
26	18	68		344	11	12
39	54	14		88	14	83
13	15	14		439	265	17
15	23	42		12	10	45
26	17	178		39	19	19
34	43	81		27	58	
30	16	143		52	30	
12	23	10		13	79	
38	18	22		35		
24	10	28				
361	18	39				
91	36	73				
14	207	30				
178	17	23				
12	43	20				
10	23	64				
62	189					
26	268					
37	63					
53	21					
59	28					
11						
27						
