49	49	70	55	52	55	61	65	57	71	49	48	49	69
2860	2063	2013	2000	1420	1934	1519	2735	2329	1590	1699	1816	1824	1899

44	53	49	52	53	36	61	68	67	53	33	64	57	56
1714	1741	1968	1721	2120	1435	1909	1707	1431	2024	1725	1634	1949	1278

41	40	42	40	51	53	62	61	49	54	57	71	45	70
1677	1945	1754	1200	1307	1895	1798	1375	2665	1743	1722	2562	2277	1579

58	62	28	72	37	67	51	55	68	58	61	43	60	53
1785	1068	1411	1162	1646	1489	1769	1550	1313	2472	2036	1914	1910	2730

51	51	60	64	66	52	45	48	51	73	63	32	59	68
2235	1993	1613	1532	2339	2109	1649	2238	1733	1981	1440	1482	1758	2540

35	64	62	51	52	44	64	65	56	52	59	66	42	67
1637	1779	1069	1929	2605	1491	1321	1326	1797	1158	1595	2105	1496	1301

48	56	47	68	58	59	45	31	47	56	38	47	65	61
2467	1265	3813	1216	1167	1767	1683	1648	1144	1162	1460	1726	1862	3284

45	63	66	44	57	56	56	54	61	58	46	62	68	58
1683	1654	2725	1992	1332	1840	1704	1510	3000	1758	1604	1475	1106	2040

47	66	61	58	45	55	54	54	54	41	65	66	38	51
1594	1215	1418	1828	2305	1902	2013	2026	1875	2227	2325	1674	2435	2715
49	49	51	42	61	69	42	53						
1773	1656	2320	1908	1853	1302	2161	1715						
