-1	-1	-1	-1	-1	-1	519	446	337	415
-1	-1	-1	-1	1	1	503	468	343	418
-1	-1	1	1	-1	1	567	471	355	424
-1	-1	1	1	1	-1	552	489	361	425
-1	1	-1	1	-1	1	534	466	356	431
-1	1	-1	1	1	-1	549	461	354	427
-1	1	1	-1	-1	-1	560	480	345	437
-1	1	1	-1	1	1	535	477	363	418
1	-1	-1	1	-1	-1	558	483	376	418
1	-1	-1	1	1	1	551	472	349	426
1	-1	1	-1	-1	1	576	487	358	434
1	-1	1	-1	1	-1	569	494	357	444
1	1	-1	-1	-1	1	562	474	358	404
1	1	-1	-1	1	-1	569	494	348	400
1	1	1	1	-1	-1	568	478	367	463
1	1	1	1	1	1	551	500	373	462
a	0	0	0	0	0	567	471	358	445
-a	0	0	0	0	0	530	467	362	431
0	a	0	0	0	0	575	492	359	428
0	-a	0	0	0	0	565	467	356	437
0	0	a	0	0	0	581	466	355	442
0	0	-a	0	0	0	564	487	346	420
0	0	0	a	0	0	552	477	359	437
0	0	0	-a	0	0	530	468	370	431
0	0	0	0	a	0	572	488	360	436
0	0	0	0	-a	0	554	482	347	461
0	0	0	0	0	a	536	492	360	436
0	0	0	0	0	-a	525	481	363	434
0	0	0	0	0	0	562	495	359	428
