0.109	0.388	0.621	0.823	1.078	1.132	1.191
0.218	0.393	0.568	0.729	0.839	0.852	1.004
0.211	0.394	0.549	0.700	0.783	0.870	0.925
0.209	0.419	0.645	0.850	1.001	1.026	1.069
0.193	0.362	0.520	0.530	0.641	0.640	0.751
0.201	0.361	0.502	0.530	0.657	0.762	0.888
0.202	0.370	0.498	0.650	0.795	0.858	0.910
0.190	0.350	0.510	0.666	0.819	0.879	0.929
0.219	0.399	0.578	0.699	0.709	0.822	0.953
0.255	0.400	0.545	0.690	0.796	0.825	0.836
0.224	0.381	0.577	0.756	0.869	0.929	0.999
0.187	0.329	0.441	0.525	0.589	0.621	0.796
0.278	0.471	0.606	0.770	0.888	1.001	1.105
