12	1	1	1	1	1	1
15	1	0	0	1	1	1
15	1	1	0	0	1	1
15	1	1	0	1	1	1
13	1	1	1	1	1	1
13	0	1	1	0	1	0
5	0	1	0	1	0	1
20	0	1	0	0	0	1
12	0	1	0	0	1	1
6	0	0	1	0	0	0
21	1	1	0	1	1	1
11	1	1	1	1	1	0
15	1	1	1	0	0	1
14	1	1	1	1	1	1
13	1	1	0	1	1	1
22	1	1	1	0	1	1
14	1	1	1	1	1	1
11	1	0	1	1	1	0
10	1	0	0	1	0	0
23	0	1	0	0	1	0
7	0	1	1	0	0	1
8	0	1	0	0	0	1
19	0	1	0	1	0	1
22	0	0	1	1	1	1
10	0	0	1	0	1	1
14	0	0	1	1	1	1
19	0	0	1	0	0	0
20	0	0	0	1	0	0
16	0	0	0	1	1	1
11	0	0	0	1	1	0
14	0	0	0	0	1	0
11	0	0	0	0	1	0
24	0	0	0	0	1	0
9	0	0	0	0	0	1
16	0	0	0	0	0	1
19	0	0	0	0	0	1
