1	33.1	32.0	31.2	31.2	31.4
2	26.2	29.2	28.4	27.3	25.3
3	31.2	30.1	30.1	31.2	29.2
4	27.0	27.9	27.3	24.7	28.1
5	28.4	25.3	25.6	26.7	26.2
6	28.1	28.1	28.1	32.0	28.4
7	27.0	28.1	28.1	28.1	27.0
8	25.1	27.3	26.2	27.5	27.3
9	31.2	29.2	31.2	32.0	30.1
10	30.1	30.1	28.1	28.6	30.1
11	29.0	28.1	29.2	29.0	27.0
12	27.0	27.0	27.3	26.4	25.3
13	31.2	33.1	31.2	30.3	29.2
14	32.3	31.2	32.3	31.2	31.2
15	29.5	28.4	30.3	30.3	28.4
16	29.2	29.2	29.2	30.9	28.1
17	32.3	31.2	29.2	29.5	31.2
18	27.3	30.1	29.2	29.2	29.2
19	26.4	27.3	27.3	28.1	26.4
20	27.3	26.7	26.4	26.4	26.4
21	27.3	28.1	28.4	27.5	26.4
22	29.5	28.1	27.3	28.4	26.4
23	28.4	29.5	28.4	28.6	27.5
24	31.2	29.5	29.2	31.2	27.3
25	30.1	31.2	28.1	31.2	29.2
26	31.2	31.2	31.2	31.2	30.3
27	26.2	28.1	26.2	25.9	26.2
28	27.3	27.3	27.0	28.1	28.1
29	29.2	26.4	27.3	27.3	27.3
30	29.5	27.3	29.2	28.4	28.1
31	28.1	27.3	29.2	28.1	29.2
32	31.2	31.2	31.2	31.2	28.4
33	28.1	27.3	27.3	28.4	28.4
34	24.0	28.1	26.4	25.1	25.3
35	27.0	29.0	27.3	26.4	28.1
36	27.5	27.5	24.5	25.6	25.3
37	27.3	29.5	26.2	27.5	28.1
38	31.2	30.1	27.3	30.1	29.2
39	27.0	27.5	27.3	27.0	27.3
40	31.2	29.5	30.1	28.4	28.4
