10.3	13.4	16.7	21
10.0	12.1	17.0	27
9.8	12.1	16.4	25
10.6	13.5	17.7	21
9.3	12.5	16.3	27
9.2	13.9	16.2	25
9.6	15.1	16.7	24
9.2	-	12.2	12
9.7	-	12.1	9
9.6	12.7	16.4	25
9.6	12.5	16.7	21
9.3	15.7	16.0	24
9.6	-	12.0	9
9.4	12.6	13.1	14
10.5	12.6	17.5	24
10.5	13.5	14.1	13
9.9	14.3	16.8	24
9.3	15.3	16.2	24
10.4	13.5	17.3	21
9.8	12.9	16.7	27
10.8	14.2	17.3	20
10.9	13.3	17.8	23
10.6	-	13.8	11
10.6	14.3	16.3	21
10.5	12.9	17.4	25
11.0	-	12.4	6
8.7	-	12.3	14
10.9	-	14.5	13
11.0	14.6	17.5	24
10.8	14.1	17.6	22
11.3	14.4	18.2	24
11.4	13.8	18.3	23
11.3	13.7	17.8	21
11.2	13.5	15.7	18
11.3	14.5	16.3	18
11.2	14.3	17.2	23
11.6	13.9	14.7	9
11.8	14.1	17.9	18
11.4	13.3	18.2	21
11.5	14.0	17.9	21
