195	348	237	174	205	158	201	171	190	85	180	82	193	210
170	90	150	167	200	154	228	119	169	86	178	166	251	211
234	143	222	284	116	87	157	134	194	121	130	64	206	99
158	87	167	177	217	114	234	116	190	132	178	157	265	73
219	98	266	486	190	108	156	126	187	109	149	146	147	95
155	48	207	195	238	172	168	71	210	91	208	139	160	116
243	101	209	97	221	156	178	116	289	120	201	72	168	100
168	227	207	160										


184	145	263	142	185	115	271	128	173	56	230	304	222	151
215	168	233	340	212	171	221	140	239	97	168	131	231	145
221	432	131	137	211	124	232	258	313	256	240	221	176	166
210	92	251	189	175	148	185	256	184	222	198	149	198	333
208	112	284	245	231	181	171	165	258	210	164	76	230	492
197	87	216	112	230	90	265	156	197	158	230	146	233	142
250	118	243	50	175	489	200	68	240	196	185	116	213	130
180	80	208	220	386	162	236	152	230	162	188	220	200	101
212	130	193	188	230	158	169	112	181	104	189	84	180	202
297	232	232	328	150	426	239	154	178	100	242	144	323	196
168	208	197	291	417	198	172	140	240	441	191	115	217	327
208	262	220	75	191	115	119	84	171	170	179	126	208	149
180	102	254	153	191	136	176	217	283	424	253	222	220	172
268	154	248	312	245	120	171	108	239	92	196	141	247	137
219	454	159	125	200	152	233	127	232	131	189	135	237	400
319	418	171	78	194	183	244	108	236	148	260	144	254	170
250	161	196	130	298	143	306	408	175	153	251	117	256	271
285	930	184	255	228	142	171	120	229	242	195	137	214	223
221	268	204	150	276	199	165	121	211	91	264	259	245	446
227	146	197	265	196	103	193	170	211	122	185	120	157	59
224	124	209	82	223	80	278	152	251	152	140	164	197	101
172	106	174	117	192	101	221	179	283	199	178	109	185	168
181	119	191	233	185	130	206	133	210	217	226	72	219	267
215	325	228	130	245	257	186	273	242	85	201	297	239	137
179	126	218	123	279	317	234	135	264	269	237	88	162	91
245	166	191	90	207	316	248	142	139	173	246	87	247	91
193	290	332	250	194	116	195	363	243	112	271	89	197	347
242	179	175	246	138	91	244	177	206	201	191	149	223	154
172	207	190	120	144	125	194	125	105	36	201	92	193	259
262	88	211	304	178	84	331	134	235	144	267	199	227	202
243	126	261	174	185	100	171	90	222	229	231	161	258	328
211	306	249	256	209	89	177	133	165	151	299	93	274	323
219	163	233	101	220	153	348	154	194	400	230	137	250	160
173	300	260	127	258	151	131	61	168	91	208	77	287	209
308	260	227	172	168	126	178	101	164	80	151	73	165	155
249	146	258	145	194	196	140	99	187	390	171	135	221	156
294	135	167	80	208	201	208	148	185	231	159	82	222	108
266	164	217	227	249	200	218	207	245	322	242	180	262	169
169	158	204	84	184	182	206	148	198	124	242	248	189	176
260	98	199	153	207	150	206	107	210	95	229	296	232	583
267	192	228	149	187	115	304	149	140	102	209	376	198	105
270	110	188	148	160	125	218	96	257	402	259	240	139	54
213	261	178	125	172	146	198	103	222	348	238	156	273	146
131	96	233	141	269	84	170	284	149	237	194	272	142	111
218	567	194	278	252	233	184	184	203	170	239	38	232	161
225	240	280	218	185	110	163	156	216	101				
