1	2222232122211212222222222	1	2112221122211211222222222
2	2221222212111211222221222	2	3121212212121211212121241
3	1121233322211211333331233	3	3223222222223211332333300
4	2221222111111211122121221	4	2122222123121213222211221
5	1121222111111211112120000	5	2321232111211333232232333
6	1121122112111211111221222	6	1121222312311211223331212
7	2222222222221212232322232	7	2121123112222221222212212
8	1121222111111211232211232	8	1121322121111211121112211
9	1121222111111211112111221	9	2222222211111221122111211
10	2122222111111211222121232	10	3134444444441400000000000
11	2221232212121211222232222	11	2221212112121121111121121
12	2121222112111211222121221	12	3222232232213343322333223
13	1122232113211210112121232	13	3223322212221211122232213
14	1121222111111211112121221	14	1222111213221212211111131
15	3323341222231212232232223	15	2243342223421212323343343
16	2222242211121211112211222	16	3222330233332324033333323
17	1111111111111111111111121	17	4433343334334413333344444
18	3121232123221211233222233	18	3332222123432212323233322
19	1221222121221211112122222	19	4244444334442314343434444
20	1121232113211211331222112	20	2122222222211211332322232
