0.934																	
0.927	0.941																
0.909	0.944	0.933															
0.524	0.487	0.543	0.499														
0.799	0.821	0.856	0.833	0.703													
0.854	0.865	0.886	0.889	0.719	0.923												
0.789	0.834	0.846	0.885	0.253	0.699	0.751											
0.835	0.863	0.862	0.850	0.462	0.752	0.793	0.745										
0.845	0.878	0.863	0.881	0.567	0.836	0.913	0.787	0.805									
-0.458	-0.496	-0.522	-0.488	-0.174	-0.317	-0.383	-0.497	-0.356	-0.371								
0.917	0.942	0.940	0.945	0.516	0.846	0.907	0.861	0.848	0.902	-0.465							
0.939	0.961	0.956	0.952	0.494	0.849	0.914	0.876	0.877	0.901	-0.447	0.981						
0.953	0.954	0.946	0.949	0.452	0.823	0.886	0.878	0.883	0.891	-0.439	0.971	0.991					
0.895	0.899	0.882	0.908	0.551	0.831	0.891	0.794	0.818	0.848	-0.405	0.908	0.920	0.921				
0.691	0.652	0.694	0.623	0.815	0.812	0.855	0.410	0.620	0.712	-0.198	0.725	0.714	0.676	0.720			
0.327	0.305	0.356	0.272	0.746	0.553	0.567	0.067	0.300	0.384	-0.032	0.396	0.360	0.298	0.378	0.781		
-0.676	-0.712	-0.667	-0.736	-0.233	-0.504	-0.502	-0.758	-0.666	-0.629	0.492	-0.657	-0.655	-0.687	-0.633	-0.186	0.169	
0.702	0.729	0.746	0.777	0.285	0.499	0.592	0.793	0.671	0.668	-0.425	0.696	0.724	0.731	0.694	0.287	-0.026	-0.775
