995	24	395	8	100	7
1250	13	295	19	595	22
295	33	195	8	350	19
295	2	100	2	895	9
250	11	495	19	150	6
150	7	195	12	295	2
30	4	795	14	495	20
295	28	1950	39	395	8
295	10	230	13	895	56
250	12	395	13	150	6
250	4	595	13	595	8
1495	30	200	2	1495	6
295	15	495	17	175	6
175	11	195	15	495	14
150	8	350	11	195	10
1225	68	1495	7	125	6
595	13	895	33	495	30
100	3	1095	18	495	14
695	8	195	3	525	21
995	18	195	16	495	8
795	4	95	4	595	19
595	11	95	16	195	8
1295	23	250	6	1095	17
495	22	475	8	795	13
295	2	100	2	795	33
250	4	385	8	695	17
695	6	750	22	695	25
695	7	1550	5	750	34
250	13	395	13	295	23
495	10	195	8	195	17
200	2	250	10	250	13
695	6	695	29	895	16
395	20	350	29	695	4
795	27				
