2.5	650	16.083
6.0	2500	48.350
6.0	900	33.650
7.5	800	45.600
8.0	3070	62.267
8.0	2866	73.217
16.0	7500	204.617
6.0	800	36.367
5.0	800	29.750
6.0	650	39.750
28.0	2100	192.667
5.0	2000	43.050
9.5	2200	65.000
6.0	500	44.133
4.5	1500	26.933
10.0	3000	72.250
14.0	2200	98.417
3.0	350	78.650
4.5	1000	17.417
5.5	600	32.567
3.0	300	15.950
3.5	1500	27.900
6.0	2200	47.633
2.0	900	17.933
3.0	600	18.683
4.0	2000	26.217
6.0	800	34.433
5.0	950	28.567
6.5	1750	50.500
5.0	500	20.950
10.0	4400	85.550
6.0	600	32.550
18.0	5200	170.250
4.5	850	28.100
20.0	5000	159.833
