14.4	7.00	4.30	0.15	0.51	11.8	5.44	3.94	0.30	0.04
13.8	7.08	3.43	0.12	0.17	11.6	5.39	3.77	0.29	0.06
14.6	7.09	3.88	0.13	0.20	18.3	1.28	0.67	0.03	0.03
11.5	6.37	5.64	0.16	0.14	15.8	2.39	0.63	0.01	0.04
13.8	7.06	5.34	0.20	0.20	18.0	1.50	0.67	0.01	0.06
10.9	6.26	3.47	0.17	0.22	18.0	1.88	0.68	0.01	0.04
10.1	4.26	4.26	0.20	0.18	20.8	1.51	0.72	0.07	0.10
11.6	5.78	5.91	0.18	0.16	17.7	1.12	0.56	0.06	0.06
11.1	5.49	4.52	0.29	0.30	18.3	1.14	0.67	0.06	0.05
13.4	6.92	7.23	0.28	0.20	16.7	0.92	0.53	0.01	0.05
12.4	6.13	5.69	0.22	0.54	14.8	2.74	0.67	0.03	0.05
13.1	6.64	5.51	0.31	0.24	19.1	1.64	0.60	0.10	0.03
12.7	6.69	4.45	0.20	0.22					
12.5	6.44	3.94	0.22	0.23					
