497	591	153	291	820	114	183	154
839	942	302	365	184	74	6	20
798	1308	668	584	921	66	1686	455
892	842	287	395	488	80	103	115
1585	781	2476	1740	721	83	176	104
755	764	428	438	614	55	441	193
388	655	153	233	801	56	357	214
617	879	757	719	396	59	61	80
248	438	22	65	864	65	1618	352
1641	440	6471	2063	845	64	1935	414
1180	1243	768	813	404	97	33	47
619	684	99	204	781	47	1906	452
253	422	15	48	457	103	136	108
661	739	71	188	1029	71	244	189
1981	869	1489	1032	1047	90	653	298
1746	746	2662	1594	552	91	185	158
1865	915	5184	1767	718	104	583	304
238	522	29	75	495	114	65	74
1199	1095	261	344	382	77	230	147
1524	964	1739	1410	1090	59	313	177
