5	761	868	861	725	707	490
10	816	813	771	855	662	507
15	711	721	702	743	704	677
20	947	826	830	860	682	665
25	991	924	907	845	719	699
30	827	1022	975	795	634	741
35	987	939	847	798	588	607
40	965	904	750	780	699	704
45	902	918	804	762	665	549
50	989	814	727	772	599	603

55	959	913	785	835	663	619
60	934	850	861	758	699	643
65	726	849	891	807	728	627
70	888	882	889	810	691	603
75	<1172	855	830	842	674	634
80	867	861	896	813	579	557
85	987	792	889	762	670	570
90	876	833	903	655	560	623
95	1004	891	853	700	610	660
100	869	936	860	698	560	584

105	860	844	802	658	577	517
110	834	789	706	652	604	603
115	760	891	784	682	632	684
120	901	943	780	680	747	658
125	901	849	788	713	690	703
130	1015	918	829	837	693	689
135	886	901	902	838	807	727
140	695	812	924	760	739	692
145	1117	718	902	665	642	715
150	954	762	871	742	780	725

155	842	801	841	627	797	705
160	740	797	901	820	792	695
165	914	802	671	760	553	676
170	900	918	875	753	688	597
175	834	894	915	743	762	717
180	801	802	856	842	<934	711
185	915	851	794	668	689	707
190	871	835	827	778	790	717
195	929	890	938	737	972	691
200	850	903	1047	<1042	1076	615

205	997	871	1019	767	1024	619
210	819	880	895	832	922	629
215	805	710	902	858	866	558
220	1012	880	1006	857	<928	722
225	1096	839	1096	1047	<928	762
230	1072	868	869	1053	<12	828
235	1000	846	901	1005	<1029	759
240	1112	757	1000	925	<1189	642
245	900	783	1125	975	<1045	712
250	912	713	786	965	<1521	662

255	742	682	668	832	<1068	484
260	736	681	970	808	<667	597
265	829	944	1363	470	<1074	777
270	913	1071	1105	582	<1119	896
275	917	1037	<1168	942	<917	873
280	1176	997	990	863	<652	829
285	900	1016	1088	853	<795	805
290	1121	963	<1263	872	<921	1079
295	1319	1099	1184	1067	<1167	929
300	1320	1025	1173	1113	<1249	962

305	1094	844	1121	1077	*	891
310	1177	968	826	972	*	973
315	1224	1124	1172	<1540	*	834
320	1311	1068	1118	<1875	*	675
325	1170	<1084	1114	<1378	*	686
330	1234	953	905	1072	*	854
335	1252	963	1054	1063	*	860
340	1266	1016	1181	1023	*	841
345	1215	<1144	1262	1227	*	881
350	1200	974	1452	1430	*	646

355	1224	1014	1166	1297	*	1179
360	1239	932	1093	830	*	1024
365	<1355	909	1099	707	*	993
370	<1228	1043	1165	1010	*	1122
375	1072	862	977	713	*	1212
380	884	<1146	1225	898	*	1153
385	1324	963	<1243	1202	*	1209
390	1050	832	1250	1062	*	1274
395	861	804	1270	910	*	1155
400	1027	1035	1250	1222	*	1102
