1000	99	25.3	1897	240	50.3
1112	173	28.2	1822	248	51.3
1033	188	28.6	2129	261	51.7
1087	133	29.1	2053	245	52.8
1069	146	30.7	1676	186	53.8
925	91	31.4	1621	188	53.9
1306	188	32.5	1990	252	54.9
1306	194	36.8	1764	222	55.1
1323	195	37.1	1909	244	55.2
1379	177	38.3	2086	274	55.3
1332	182	39.0	1916	276	56.9
1254	110	39.6	1889	254	57.3
1587	203	40.1	1870	238	58.3
1145	193	40.3	2036	264	58.6
1438	167	40.3	2570	189	58.7
1281	188	40.6	1474	223	59.5
1595	238	42.3	2116	245	60.8
1129	130	42.4	2054	272	61.3
1492	189	42.5	1994	264	61.5
1605	213	43.0	1746	196	63.2
1647	165	43.0	2604	268	63.3
1539	210	46.7	1767	205	68.1
1706	224	49.0	2649	346	68.9
1728	228	50.2	2159	246	68.9
1703	209	50.3	2078	237.5	70.8
