1	8	0*	25*	21
1	6	4	5	5
1	6	5	28*	18
1	14*	35*	23	19*
1	7	0*	13	0*
1	5	4	27	8
1	5	21*	6	14
1	6	10	14	18
1	7	4	15	8
1	6	5	5	5
1	4	5	6	3
1	5	4	7	5
1	21*	5	0*	6
1	13	27*	21*	8
1	4	27*	7	6
1	6	3	7	8
1	6	0*	5	5
1	6	0*	4	6
1	7	9	6	7
1	8	15	8	0*
1	18*	27*	18*	9
1	16	14	14	6
1	15	9	12	12
2	4	5	4	3
2	8	22	25*	0*
2	6	6	8	5
2	7	10	10	18
2	5	14	17*	6
2	3	5	8	6
2	6	11	6	13
2	6	0*	15	7
2	6	12	19	8
2	6	25*	0*	22*
2	4	7	5	7
2	5	7	4	6
2	3	9	7	6
2	9	17	0*	21*
2	6	4	8	14
2	5	5	7	16*
2	12	18*	14	0*
2	9	11	15	18*
2	6	5	9	0*
2	18*	8	10	13
2	4	4	5	10
2	3	10	0*	21*
2	8	7	10	12
2	3	6	7	9
