1	13.4	39	4100	14	25	17
2	14.6	46	5000	15	30	20
3	13.5	42	4500	19	21	18
4	15.0	46	4600	23	16	18
5	14.6	44	5100	17	31	19
6	14.0	44	4900	20	24	19
7	16.4	49	4300	21	17	18
8	14.8	44	4400	16	26	29
9	15.2	46	4100	27	13	27
10	15.5	48	8400	34	42	36
11	15.2	47	5600	26	27	22
12	16.9	50	5100	28	17	23
13	14.8	44	4700	24	20	23
14	16.2	45	5600	26	25	19
15	14.7	43	4000	23	13	17
16	14.7	42	3400	9	22	13
17	16.5	45	5400	18	32	17
18	15.4	45	6900	28	36	24
19	15.1	45	4600	17	29	17
20	14.2	46	4200	14	25	28
21	15.9	46	5200	8	34	16
22	16.0	47	4700	25	14	18
23	17.4	50	8600	37	39	17
24	14.3	43	5500	20	31	19
25	14.8	44	4200	15	24	19
26	14.9	43	4300	9	32	17
27	15.5	45	5200	16	30	20
28	14.5	43	3900	18	18	25
29	14.4	45	6000	17	37	23
30	14.6	44	4700	23	21	27
31	15.3	45	7900	43	23	23
32	14.9	45	3400	17	15	24
33	15.8	47	6000	23	32	21
34	14.4	44	7700	31	39	23
35	14.7	46	3700	11	23	23
36	14.8	43	5200	25	19	22
37	15.4	45	6000	30	25	18
38	16.2	50	8100	32	38	18
39	15.0	45	4900	17	26	24
40	15.1	47	6000	22	33	16
41	16.0	46	4600	20	22	22
42	15.3	48	5500	20	23	23
43	14.5	41	6200	20	36	21
44	14.2	41	4900	26	20	20
45	15.0	45	7200	40	25	25
46	14.2	46	5800	22	31	22
47	14.9	45	8400	61	17	17
48	16.2	48	3100	12	15	18
49	14.5	45	4000	20	18	20
50	16.4	49	6900	35	22	24
51	14.7	44	7800	38	34	16
52	17.0	52	6300	19	21	16
53	15.4	47	3400	12	19	18
54	13.8	40	4500	19	23	21
55	16.1	47	4600	17	28	20
56	14.6	45	4700	23	22	27
57	15.0	44	5800	14	39	21
58	16.2	47	4100	16	24	18
59	17.0	51	5700	26	29	20
60	14.0	44	4100	16	24	18
61	15.4	46	6200	32	25	16
62	15.6	46	4700	28	16	16
63	15.8	48	4500	24	20	23
64	13.2	38	5300	16	26	20
65	14.9	47	5000	22	25	15
66	14.9	47	3900	15	19	16
67	14.0	45	5200	23	25	17
68	16.1	47	4300	19	22	22
69	14.7	46	6800	35	25	18
70	14.8	45	8900	47	36	17
71	17.0	51	6300	42	19	15
72	15.2	45	4600	21	22	18
73	15.2	43	5600	25	28	17
74	13.8	41	6300	25	27	15
75	14.8	43	6400	36	24	18
76	16.1	47	5200	18	28	25
77	15.0	43	6300	22	34	17
78	16.2	46	6000	25	25	24
79	14.8	44	3900	9	25	14
80	17.2	44	4100	12	27	18
81	17.2	48	5000	25	19	25
82	14.6	43	5500	22	31	19
83	14.4	44	4300	20	20	15
84	15.4	48	5700	29	26	24
85	16.0	52	4100	21	15	22
86	15.0	45	5000	27	18	20
87	14.8	44	5700	29	23	23
88	15.4	43	3300	10	20	19
89	16.0	47	6100	32	23	26
90	14.8	43	5100	18	31	19
91	13.8	41	8100	52	24	17
92	14.7	43	5200	24	24	17
93	14.6	44	9899	69	28	18
94	13.6	42	6100	24	30	15
95	14.5	44	4800	14	29	15
96	14.3	39	5000	25	20	19
97	15.3	45	4000	19	19	16
98	16.4	49	6000	34	22	17
99	14.8	44	4500	22	18	25
100	16.6	48	4700	17	27	20
101	16.0	49	7000	36	28	18
102	15.5	46	6600	30	33	13
103	14.3	46	5700	26	20	21
