32	48	27	43	141	27	8
33	68	83	75	310	41	12
34	167	131	174	573	85	24
35	229	292	305	801	150	47
36	287	483	448	1140	252	77
37	397	732	604	1360	401	106
38	548	997	674	1709	552	143
39	664	1095	794	1898	796	191
40	808	1180	943	2019	1041	239
41	851	1158	977	2140	1270	303
42	984	1238	1110	2173	1370	359
43	1045	1303	1154	2106	1454	433
44	981	1286	1037	1973	1374	495
45	964	1236	978	1816	1327	571
46	935	1161	794	1520	1180	620
47	839	1039	728	1292	1074	679
48	714	897	605	1233	895	690
49	622	817	488	1056	814	680
50	638	741	448	800	701	668
51	580	636	405	691	638	610
52	483	587	326	586	498	547
53	462	539	268	521	468	477
54	428	450	248	444	411	428
55	395	377	203	387	332	397
56	392	326	223	332	307	361
57	335	275	192	279	296	353
58	327	234	190	263	278	346
59	295	235	189	247	283	378
60	277	211	162	228	344	386
61	324	238	179	235	297	409
62	312	242	217	244	294	406
63	374	232	229	256	299	387
64	360	274	256	233	282	362
65	396	273	257	238	260	326
66	328	257	269	208	251	278
67	326	232	241	219	227	235
68	262	200	234	212	195	197
69	196	177	191	187	173	168
70	147	121	165	161	152	145
71	118	95	148	135	144	135
72	102	86	113	101	119	113
73	103	61	111	95	117	112
74	135	66	110	141	116	113
75	114	67	118	100	125	128
76	158	82	138	105	120	140
77	171	86	130	139	159	158
78	215	109	183	142	156	179
79	215	102	221	166	172	204
80	220	121	190	155	192	226
81	218	108	224	167	197	234
82	192	90	204	171	190	249
83	212	82	198	154	191	240
84	172	70	156	150	187	224
85	144	69	132	131	163	213
86	114	49	135	143	139	178
87	93	49	97	80	112	152
88	95	36	81	58	82	124
89	57	23	49	48	78	100
90	55	25	45	42	69	75
91	38	16	33	33	37	54
92	25	10	22	23	27	41
93	27	11	19	16	21	31
94	19	8	12	16	16	25
95	15	8	16	10	12	18
96	10	7	10	12	9	11
97	6	5	6	7	5	7
98	7	4	10	3	2	5
99	6	4	3	4	3	4
	21844	23561	19937	34778	24049	17034
