1900	10.80	22.20	49.40	121.40	246.00
1904	11.00	21.60	49.20	116.00	245.40
1908	10.80	22.40	50.00	112.80	243.40
1912	10.80	21.70	48.20	111.90	236.80
1920	10.80	22.00	49.60	113.40	241.80
1924	10.60	21.60	47.60	112.40	233.60
1928	10.80	21.80	47.80	111.80	233.20
1932	10.30	21.20	46.20	109.80	231.20
1936	10.30	20.70	46.50	112.90	227.80
1948	10.30	21.10	46.20	109.20	225.20
1952	10.40	20.70	45.90	109.20	225.20
1956	10.50	20.60	46.70	107.70	221.20
1960	10.20	20.50	44.90	106.30	215.60
1964	10.00	20.30	45.10	105.10	218.10
1968	9.95	19.83	43.80	104.30	214.90
1972	10.14	20.00	44.66	105.90	216.30
1976	10.06	20.23	44.26	103.50	219.20
1980	10.25	20.19	44.60	105.40	218.40
1984	9.99	19.80	44.27	103.00	212.50
1988	9.92	19.75	43.87	103.45	215.96
