3.74	4.44	3.92	4.29	4.54	5.30	3.40	3.79	4.80	5.75
4.01	4.37	4.95	5.24	5.18	4.50	3.55	3.66	6.45	5.14
3.77	4.25	4.47	4.43	5.75	4.59	3.83	3.58	5.18	5.25
3.78	3.71	4.28	4.00	5.04	5.04	3.95	3.38	4.49	4.76
4.10	4.08	4.07	4.62	4.64	4.83	4.43	3.71	5.24	5.18
4.06	3.90	4.10	4.29	4.79	4.55	3.70	3.94	5.70	4.22
4.27	4.41	4.38	4.85	4.72	4.97	3.30	3.59	5.41	5.98
3.94	4.11	3.98	4.66	3.88	5.38	3.93	3.55	4.77	4.85
4.11	4.37	4.46	4.40	5.28	5.39	3.58	3.55	5.18	6.55
4.25	3.53	5.05	4.33	4.66	5.97	3.54	3.43	5.23	5.72
