49	1809	43	1590	25
25	1841	28	1560	19
40	1659	30	1620	38
52	1779	57	1540	26
58	1616	52	1420	30
32	1695	27	1660	23
43	1730	52	1610	33
42	1753	*	1635	30
47	1740	43	1580	26
31	1685	23	1610	26

26	1735	25	1590	23
40	1713	39	1610	23
35	1736	32	1700	31
45	1715	*	1522	41
35	1799	35	1680	19
35	1785	33	1680	24
47	1758	43	1630	24
38	1729	35	1570	27
33	1720	32	1720	28
32	1810	30	1740	22

38	1725	40	1600	31
45	1764	*	1689	24
29	1683	29	1600	25
59	1585	55	1550	23
26	1684	25	1540	18
50	1674	45	1640	25
49	1724	44	1640	27
42	1630	40	1630	28
33	1855	31	1560	22
31	1796	*	1652	25

27	1700	25	1580	21
57	1765	51	1570	32
34	1700	31	1590	28
28	1721	25	1650	23
46	1823	*	1591	*
37	1829	35	1670	22
56	1710	55	1600	44
27	1745	23	1610	25
36	1698	35	1610	22
31	1853	28	1670	20

57	1610	52	1510	25
55	1680	53	1520	21
47	1809	43	1620	25
64	1580	61	1530	21
60	1600	*	1451	26
31	1585	23	1570	28
35	1705	35	1580	25
36	1675	35	1590	22
40	1735	39	1670	23
30	1686	24	1630	27

32	1768	29	1510	21
27	1721	*	1560	26
20	1754	21	1660	19
45	1739	39	1610	25
59	1699	52	1440	27
43	1825	52	1570	25
29	1740	26	1670	24
48	1704	*	1635	27
39	1719	*	1670	25
47	1731	48	1730	21

54	1679	53	1560	*
43	1755	42	1590	20
54	1713	50	1600	23
61	1723	64	1490	26
27	1783	26	1660	20
51	1585	*	1504	50
27	1749	32	1580	24
32	1710	31	1500	31
54	1724	53	1640	20
37	1620	39	1650	21

55	1764	45	1620	29
36	1791	33	1550	30
32	1795	32	1640	25
57	1738	55	1560	24
51	1639	*	1552	25
62	1734	*	1600	33
57	1695	*	1545	22
51	1666	52	1570	24
50	1745	50	1550	22
32	1775	32	1600	20

54	1669	54	1660	20
34	1700	32	1640	22
45	1804	41	1670	27
64	1700	61	1560	24
55	1664	43	1760	31
27	1753	28	1640	23
55	1788	51	1600	26
27	1765	*	1571	*
41	1680	41	1550	22

44	1715	41	1570	24
22	1755	21	1590	21
30	1764	28	1650	29
53	1793	47	1690	31
42	1731	37	1580	23
31	1713	28	1590	28
36	1725	35	1510	26
56	1828	55	1600	30
46	1735	45	1660	22
34	1760	34	1700	23

55	1685	51	1530	34
44	1685	39	1490	27
45	1559	35	1580	34
48	1705	45	1500	28
44	1723	44	1600	41
59	1700	47	1570	39
64	1660	57	1620	32
34	1681	33	1410	22
37	1803	38	1560	23
54	1866	59	1590	49

49	1884	46	1710	25
63	1705	60	1580	27
48	1780	47	1690	22
64	1801	55	1610	37
33	1795	45	1660	17
52	1669	47	1610	23
27	1708	24	1590	26
33	1691	32	1530	21
46	1825	47	1690	23
54	1760	57	1600	23

27	1949	*	1693	25
50	1685	*	1580	21
42	1806	*	1636	22
54	1905	46	1670	32
49	1739	42	1600	28
62	1736	63	1570	22
34	1845	32	1700	24
23	1868	24	1740	19
36	1765	32	1540	27
53	1736	*	1555	30

32	1741	*	1614	22
59	1720	56	1530	24
53	1871	50	1690	25
55	1720	55	1590	21
62	1629	58	1610	23
42	1624	38	1670	22
50	1653	44	1690	35
37	1786	35	1550	21
51	1620	44	1650	30
25	1695	25	1540	19

54	1674	43	1660	35
34	1864	31	1620	23
43	1643	35	1630	29
43	1705	41	1610	22
58	1736	50	1540	32
28	1691	23	1610	23
45	1753	43	1630	21
47	1680	49	1530	20
57	1724	59	1520	24
27	1710	*	1544	20

34	1638	38	1570	33
57	1725	42	1580	52
27	1725	21	1550	24
54	1630	*	1570	34
24	1810	*	1521	16
48	1774	42	1580	30
37	1771	35	1630	28
25	1815	26	1650	20
57	1575	57	1640	20
40	1729	34	1650	26

61	1749	63	1520	21
25	1705	23	1620	24
32	1875	*	1744	22
37	1784	*	1647	22
45	1584	*	1615	29
24	1774	23	1680	22
47	1658	46	1670	24
44	1790	40	1620	24
52	1798	53	1570	25
45	1824	40	1660	23

20	1796	22	1550	19
60	1725	60	1590	21
36	1685	32	1620	25
25	1769	24	1560	18
25	1749	28	1670	21
35	1716	40	1650	17
35	1664	*	1539	22
49	1773	48	1470	21
33	1760	33	1580	20
50	1725	49	1670	23

63	1645	64	1520	28
57	1694	55	1620	24
41	1851	41	1710	23
38	1691	38	1530	20
30	1880	31	1630	22
52	1835	52	1720	30
51	1730	43	1570	22
46	1644	51	1560	27
50	1723	47	1650	25
32	1758	*	1635	24

52	1718	32	1590	25
30	1723	33	1590	22
33	1708	*	1566	21
20	1786	18	1590	19
32	1764	*	1662	*
51	1675	45	1550	25
64	1641	64	1570	30
44	1743	43	1560	25
40	1823	39	1630	23
59	1720	56	1530	24
