1	9.23	468	123	246	374	386	-11
2	8.01	458	112	236	368	383	-15
3	10.95	457	118	240	359	353	-16
4	11.67	450	115	236	352	340	-15
5	10.41	464	119	243	366	371	-16
6	9.51	499	147	273	404	433	5
7	8.67	463	119	242	370	377	-12
8	7.75	462	115	238	370	353	-13
9	8.05	488	134	258	393	377	-5
10	11.39	483	141	264	384	398	-2
11	9.95	463	120	243	367	378	-13
12	8.25	456	111	233	365	365	-15
13	10.57	512	161	288	415	443	12
14	10.23	518	167	293	421	450	19
15	11.87	552	197	324	448	467	32
16	8.09	497	146	271	407	451	11
17	12.55	592	229	360	484	524	51
18	8.38	501	150	274	406	407	11
19	9.64	483	137	260	385	374	-3
20	11.35	491	147	269	389	391	1
21	9.70	463	121	242	366	353	-13
22	10.75	507	159	285	410	445	13
23	10.75	474	132	255	376	383	-7
24	11.47	496	152	276	396	404	6
