1	78	2	3	1	1	2	9	3
2	60	2	3	2	2	2	4	-
3	68	2	3	1	1	1	7	4
4	62	3	5	3	1	1	35	3
5	76	3	4	3	2	2	9	4
6	76	1	3	1	1	1	7	-
7	64	1	2	1	2	1	5	-
8	74	2	3	2	2	1	16	3
9	68	3	4	2	1	1	7	-
10	79	2	2	1	1	2	11	3
11	80	3	4	4	1	1	4	-
12	48	1	3	1	1	1	9	3
13	35	1	4	1	2	1	2	-
14	58	1	3	1	2	1	4	-
15	40	1	4	1	1	1	3	-
16	19	1	3	1	1	1	4	-
17	79	3	2	3	3	3	3	-
18	51	1	3	1	1	1	5	-
19	57	2	3	2	1	1	8	3
20	51	3	3	3	2	1	8	4
21	48	1	3	1	1	1	3	-
22	48	1	3	1	1	1	5	-
23	66	1	3	1	1	1	8	4
24	71	2	3	2	2	2	2	-
25	75	3	1	3	1	2	7	-
26	2	1	3	1	1	1	0	-
27	65	2	3	1	1	2	16	3
28	42	2	3	1	1	2	3	-
29	54	2	2	2	2	2	2	-
30	43	1	2	1	1	1	3	-
31	4	2	2	2	1	1	3	-
32	52	1	3	1	1	1	8	3
