60	60	127	0	70	60	783	6
60	75	63	0	70	75	1948	2
65	60	1095	3	75	60	0	0
65	75	1095	4	75	75	274	1
70	60	1512	6				
70	75	3353	18	60	60	251	0
75	60	0	0	60	75	105	0
75	75	2244	11	65	60	288	0
				65	75	192	0
60	60	44882	39	70	60	349	2
60	75	17176	29	70	75	1208	11
65	60	28609	58	75	60	0	0
65	75	20370	53	75	75	2051	4
70	60	7064	12				
70	75	13099	44	60	60	45	0
75	60	0	0	60	75	0	0
75	75	7117	18	65	60	789	7
				65	75	437	7
60	60	1179	1	70	60	1157	5
60	75	552	1	70	75	2161	12
65	60	781	0	75	60	0	0
65	75	676	1	75	75	542	1
							
60	60	127	0	70	60	783	6
60	75	63	0	70	75	1948	2
65	60	1095	3	75	60	0	0
65	75	1095	4	75	75	274	1
70	60	1512	6				
70	75	3353	18	60	60	251	0
75	60	0	0	60	75	105	0
75	75	2244	11	65	60	288	0
				65	75	192	0
60	60	44882	39	70	60	349	2
60	75	17176	29	70	75	1208	11
65	60	28609	58	75	60	0	0
65	75	20370	53	75	75	2051	4
70	60	7064	12				
70	75	13099	44	60	60	45	0
75	60	0	0	60	75	0	0
75	75	7117	18	65	60	789	7
				65	75	437	7
60	60	1179	1	70	60	1157	5
60	75	552	1	70	75	2161	12
65	60	781	0	75	60	0	0
65	75	676	1	75	75	542	1
