0	0	1.75	13.40	0.274	2	12.85
1	1	2.70	37.90	1.267	1	5.52
1	3	4.10	3.90	0.198	2	6.29
0	4	2.35	5.30	0.526	1	6.11
1	6	4.25	7.10	0.250	1	2.45
0	9	1.60	6.90	0.018	2	3.61
0	18	1.30	4.60	0.307	1	0.47
0	25	3.35	4.90	0.194	1	4.56
0	27	2.85	12.10	0.751	1	6.35
1	28	2.20	5.20	0.084	1	5.06
1	29	4.40	4.10	0.236	1	2.76
1	32	3.10	2.80	0.214	1	4.05
0	33	3.95	6.80	0.796	1	5.74
1	35	2.90	3.00	0.124	1	4.84
1	38	2.05	7.00	0.144	1	11.86
0	39	4.00	11.30	0.398	1	4.45
0	53	3.35	4.20	0.237	2	3.66
1	55	3.70	3.30	0.960	1	4.22
0	56	3.80	2.20	0.230	1	1.16
1	59	3.40	6.50	0.142	2	5.45
1	65	3.15	3.10	0.073	1	2.02
0	68	3.15	2.60	0.136	1	0.82
1	82	4.01	8.30	0.123	1	1.09
0	83	4.65	7.40	0.168	1	0.28
