1	40,11	45,22	54,13	87,31	90,70	62,95	30,18									
2	22,05	27,15	67,02	55,12	20,12	54,25	43,52	42,80								
3	15,14	22,08	43,30	34,39	44,50	89,09	15,67	13,42								
4	15,45	25,05	39,00	69,08	78,17	72,35	53,52	61,73	65,89	43,82	10,18	17,45				
5	73,92	51,80	43,50	78,08												
6	75,10	73,19	09,06	89,56	70,60	60,60	57,68	57,73	11,45	20,40	98,02					
7	95,65	65,57	55,79	92,91	06,05	04,60	14,20	98,60								
8	19,24	40,37	70,82	85,80	16,17											
9	87,16	91,11	70,60	86,94	50,70	56,21	48,97	12,62	02,30	65,02						
10	65,82	50,16	51,33	52,77	41,97	21,19	06,06	09,89	75,32							
11	77,20	85,61	98,92	62,02	45,20	34,02	27,25	28,60	21,70	90,15						
12	82,46	90,84	61,32	52,55	42,50	25,84	09,35	06,16	89,08							
13	30,84	12,40	09,14	66,32												
14	72,56	62,23	58,32	63,50	58,91	54,90	48,50	70,41	35,35	08,83	92,55					
15	01,10	37,11	41,10	38,45	48,36	42,87	48,80	86,55	78,75	80,59	76,08	89,33	91,02	99,19	72,84	05,03
16	48,32	15,22	20,45	12,40	11,44	03,35	29,78	30,70	09,60	10,92	77,40					
