71																							
58	57																						
49	45	48																					
63	63	47	59																				
64	66	50	53	71																			
71	75	52	53	71	68																		
52	56	36	34	60	58	69																	
46	50	57	33	42	43	43	44																
61	49	52	40	58	61	56	61	52															
57	60	56	35	53	48	55	48	63	59														
39	46	45	30	42	40	47	44	50	53	60													
42	50	53	28	41	36	43	39	48	47	58	48												
32	34	47	20	27	29	31	23	44	39	43	39	63											
32	39	50	19	25	25	36	37	43	41	48	49	64	63										
23	27	42	14	20	22	24	28	36	27	38	35	54	62	68									
41	47	56	25	38	42	46	38	48	54	54	48	72	57	61	59								
39	42	48	24	37	34	36	42	43	49	60	56	59	51	56	47	54							
32	36	43	22	22	24	34	29	47	34	45	47	38	46	51	42	44	53						
27	36	38	19	22	20	25	25	40	25	40	40	45	49	54	49	42	44	63					
28	37	37	20	25	25	31	33	42	29	41	37	46	48	49	47	43	44	58	59				
26	26	30	20	21	28	28	28	41	33	39	55	34	33	40	33	38	40	58	54	47			
30	33	32	16	25	26	33	32	41	37	37	46	47	46	49	39	46	58	42	44	42	50		
36	49	45	26	29	31	41	32	47	32	52	46	57	49	56	49	54	53	63	68	73	51	51	
31	44	40	23	29	32	32	31	47	33	43	45	45	47	53	43	46	53	60	61	62	55	54	72
