-2	220	10	10	1.5
-1	245	20	15	2.0
0	270	30	20	2.5
1	295	40	25	3.0
2	320	50	30	3.5


1	1	1	1	0.82	0	2	0	0	0.88
1	1	1	-1	0.87	0	-2	0	0	0.66
1	1	-1	1	0.83	0	0	2	0	0.84
1	1	-1	-1	0.86	0	0	-2	0	0.81
1	-1	1	1	0.82	0	0	0	2	0.88
1	-1	1	-1	0.80	0	0	0	-2	0.81
1	-1	-1	1	0.77	0	0	0	0	0.82
1	-1	-1	-1	0.58	0	0	0	0	0.86
-1	1	1	1	0.89	0	0	0	0	0.80
-1	1	1	-1	0.86	0	0	0	0	0.84
-1	1	-1	1	0.84	0	0	0	0	0.86
-1	1	-1	-1	0.82	0	0	0	0	0.83
-1	-1	1	1	0.67	0	0	0	0	0.81
-1	-1	1	-1	0.77	0	0	0	0	0.79
-1	-1	-1	1	0.74	0	0	0	0	0.80
-1	-1	-1	-1	0.40	0	0	0	0	0.82
2	0	0	0	0.83	0	0	0	0	0.86
