14.5	14.9	15.5	14.2	15.9	14.2	14.7	14.0	15.8	14.0
15.5	14.7	15.5	14.0	14.7	13.3	15.4	12.7	14.6	14.4
15.0	15.7	15.8	14.9	17.9	14.1	15.0	13.7	15.8	14.7
14.1	15.2	15.1	16.6	24.6	11.9	14.7	13.9	18.3	20.7
13.5	15.4	12.5	14.9	17.4	11.3	14.3	15.3	16.0	17.8
13.9	16.1	14.3	18.2	16.4	11.6	14.4	14.6	17.5	16.1
14.6	14.3	15.6	16.1	17.5	13.1	14.4	16.1	15.4	19.5
14.0	15.3	16.1	18.8	18.4	12.5	14.3	15.8	17.2	18.3
13.5	17.1	14.4	19.1	17.0	12.5	16.6	12.4	18.1	15.5
	17.1	22.8 	18.6	25.7	16.5			17.3	
	15.9		14.9	16.4	15.4				
	16.2				14.6				
