11400	13900	13900	14000	15300	18000	18000	18100	18900	19000
19000	21700								
8300	11700	12700	13000	13400	13600	13700	13700	13800	14600
15300	15600	16000	18800						

12300	13300	13700	13800	14900	15600	15900	16300	16500	17200
17500	17600	17800	17900	18000	19900				
10500	11300	11400	12600	13000	14500	15200	15700	15700	17600
19000									

13800	15100
17800	13900
18000	15900
17300	17200
16900	15200
19900	13800
13600	11300
17600	19000
15900	15400
17900	13200
12300	18800
11700	18900
18600	17100
16200	17500
14500	16400
18000	14000

13670	15930	17180	15790	15490	14810	13310	17190	13730	17200
22890	19800	12240							
36340	12280	15740	14270	13960	13610	10520	31910	14570	11780
17860	17710	15420	15630	18660	20710	8770			
