80,9	8,3	52,5	63,7	28,5	95,9	51,5	6,2	13,3
60,6	8,3	3,1	3,1	65,8	5,3	42,8	85,8	66,9
15,3	12,3	150,20	67,6	30,4	14,3	56,5	15,3	8,3
12,3	12,3	8,3	11,3	8,3	15,4	12,3	15,8	60,6
14,3	11,3	45,6	55,5	58,8	13,3	20,3	32,3	7,3
150,20	46,7	76,8	53,6	77,6	95,6	15,3	22,4	33,5
14,3	9,3	9,3	11,3	12,3	40,6	9,3	9,3	12,3
75,6	87,6	10,3	9,3	9,3	16,3	16,3	18,3	11,2
11,3	8,3	10,3	15,3	10,3	150,20	30,4	130,8	37,5
123,8	10,3	13,3	14,3	7,3	7,3	16,3	19,3	33,9
124,8	45,6	70,6	10,9	10,2	10,2	4,1	30,4	46,6
10,2	8,2	13,3	10,2	11,2	9,2	6,1	10,2	6,1
9,2	86,9	9,3	5,2	7,2	7,3	8,3	4,2	45,9
65,10	65,10	30,5	62,6	54,8	11,2	8,2	24,5	15,3
8,2	46,8	39,5	49,6	46,5	50,5	85,8	9,3	14,3
37,5	15,2	8,2	30,6	9,2	34,6	150,20	7,2	13,3
17,3	56,10	8,2	55,11	16,3	37,6	27,4	21,4	13,3
59,7	7,3	30,6	7,3	10,4	41,8	21,5	5,2	40,6
19,5	68,8	14,5	38,7	30,5	150,20	45,6	8,2	13,4
28,4	59,7	29,5	10,3	9,4	11,5	11,6	42,6	6,2
9,2	21,5	9,2	48,6	15,4	16,5	8,2	59,8	19,3
150,20	25,11	15,4	9,3	56,7	65,7	15,4	53,6	14,4
7,5	10,3	9,3	10,5	10,3	26,7 			
