82	23.8	3977	14.4
90	37.5	5509	16+
76	37.0	4303	15.6
90	20.7	4091	16+
87	10.6	2410	16+
93	14.2	4366	16+

90	45.6	6448	16+
88	31.9	4590	16+
89	24.3	6284	16+
97	31.9	8302	16+
59	16.0	3176	15.8

73	16.8	3456	16+
81	64.8	4700	12.2

45	47.3	3806	11.6


39	21.9	2828	12.7
34	16.5	3480	12.2
41	32.4	3771	12.7
16	24.1	2543	12.1

33	32.7	2450	8.7
53	30.8	3447	11.1
67	34.2	4648	8.8
57	34.5	3303	9.6
26	24.4	2693	9.4
29	29.4	3353	9.3
10	14.4	1898	10.3
15	41.7	2410	8.2
19	19.2	3424	9.2

10	24.9	2213	8.9
13	17.9	2590	9.6

24	15.7	2915	9.6

20	36.0	2357	8.8
7	24.4	1942	9.8

16	42.2	2249	8.7
11	38.2	2551	8.5
8	20.3	1866	8.2
41	47.6	2866	10.6
