22.1	1.31	25.1	1.46	25.1	1.00	25.7	1.20	25.9	1.36
26.2	1.27	27.0	1.21	30.0	1.23	30.2	1.01	30.2	1.12
33.2	1.25	33.2	1.32	33.2	1.47	33.9	1.03	33.8	1.46
34.3	1.14	34.9	1.00	42.6	1.81	43.7	1.73	44.9	1.93
49.0	1.78	49.2	2.53	51.8	1.87	51.8	1.92	52.5	1.65
52.6	1.70	53.3	2.66	23.9	1.37	25.1	1.39	26.7	1.26
27.6	1.39	28.4	1.27	28.9	1.74	29.3	1.54	29.7	1.44
31.0	1.47	31.0	1.50	31.8	1.60	32.0	1.67	32.1	1.80
32.6	1.75	33.1	1.82	34.1	1.36	34.2	1.59	44.4	2.33
44.6	2.25	52.1	2.67	52.4	2.28	52.7	3.15	53.1	2.73
52.6	3.73	46.7	2.21	37.1	2.11	31.8	1.39	36.1	1.79
28.6	2.13	29.2	1.80	26.2	1.05	45.9	2.36	36.8	2.31
34.4	1.85	34.4	1.63	26.4	1.27	27.5	0.94		
