1	264	0	1	326	1
2	282	0	2	291	0
3	244	1	3	261	0
4	223	1	4	359	0
5	225	1	5	270	0
6	173	1	6	231	0
7	217	4	7	280	1
8	194	11	8	289	1
9	221	20	9	344	7
10	150	29	10	286	8
11	184	62	11	255	21
12	167	103	12	222	58
13	165	131	13	235	112
14	111	176	14	182	143
15	110	180	15	127	137
16	70	217	16	128	179
17	57	227	17	98	225
18	49	224	18	71	240
19	42	229	19	66	259
20	32	231	20	52	277
21	28	271	21	70	246
22	23	298	22	*	*
23	17	259	23	42	292
24	22	244	24	39	305
25	14	230	25	23	289
26	18	323	26	28	298
27	12	305	27	28	388
28	14	244	28	14	277
29	6	243	29	17	279
30	11	272	30	18	274
31	9	252	31	17	283
32	13	307	32	13	263
33	19	247	33	31	302
34	7	267	34	8	238
35	4	218	35	8	273
