	130	134	150	135	146	147	126	136	148	132	131	125	139
2519	221	68	83	108	70	36	58	1	17	20	7	7	6
1504	281	184	11	3	69	17	0	2	9	1	1	7	0
2161	234	206	112	55	108	63	3	28	18	2	5	3	3
4187	478	608	40	402	156	108	1	1	64	25	12	11	9
1480	76	251	173	159	23	37	4	30	14	1	9	6	3
2125	386	142	9	16	113	90	0	0	10	7	15	11	4
6514	1122	742	197	435	81	172	330	193	66	33	22	16	21
1820	208	398	45	14	13	35	5	1	3	4	10	12	9
2671	409	282	512	168	119	45	252	225	41	27	39	5	17
4220	314	429	105	53	65	37	20	1	29	28	23	14	11
2377	72	148	425	120	56	116	3	0	17	6	6	5	2
5009	566	305	123	174	71	99	5	16	28	15	13	9	7
2037	241	207	4	4	37	29	0	1	11	0	3	0	0
1759	390	277	56	68	160	45	17	15	26	32	23	3	2
1767	248	178	61	89	122	70	13	11	16	19	5	6	3
3443	218	185	317	198	164	75	45	89	26	21	13	22 	27
2200	212	210	115	104	64	70	85 	7	11	12	15	5	1
2639	280	155	286	180	53	74	36	4	27	9	16	4	12
1897	288	224	132	153	79	51	14	15	7	9	9	3	5
2278	331	251	170	439	76	84	9	24	20	8	5	5	7
2242	254	303	177	152	148	138	21	53	16	15	16	9	5
2497	330	290	186	215	119	121	21	7	16	26	13	13	9
