44	31.2	88.5
38	32.9	86.8
35	33.6	112.5
31	35.4	92.8
47	34.3	118.7
42	38.4	123.0
15	40.7	105.3
22	41.7	73.4
26	40.5	76.3
30	39.7	77.5
45	31.0	82.3
65	25.0	82.0
58	26.3	80.7
37	33.9	85.0
22	43.7	117.1
19	42.3	88.0
21	39.8	86.9
11	41.8	93.6
22	38.1	97.6
27	39.0	86.5
45	30.8	90.2
12	44.2	70.5
25	39.7	77.3
23	42.7	71.4
21	43.1	83.9
2	45.9	93.9
24	39.3	90.5
8	47.1	112.4
13	41.9	96.1
11	43.5	71.9
27	39.8	75.3
24	35.1	106.7
14	42.6	73.7
27	40.8	74.6
34	35.9	81.5
31	36.4	78.9
0	47.1	101.0
26	39.2	85.0
21	42.3	82.5
28	35.9	97.5
33	45.6	123.2
24	40.9	77.8
24	40.9	75.5
38	33.3	80.8
31	36.7	87.6
24	35.6	101.9
49	29.4	95.5
44	30.1	95.9
18	41.1	112.3
7	45.0	73.9
32	37.0	76.6
33	48.1	122.5
19	48.1	117.9
9	43.4	90.2
13	43.3	88.1
14	41.2	104.9
