1	0.43	0.30	0.54
1	0.86	0.10	0.13
1	0.63	0.00	0.37
1	0.17	0.03	0.79
1	0.52	0.07	0.42
1	0.28	0.01	0.71
1	0.68	0.11	0.20
1	0.78	0.01	0.21
1	0.45	0.04	0.51
1	0.82	0.05	0.13
1	0.83	0.06	0.11
1	0.35	0.04	0.61
1	0.64	0.12	0.24

2	0.15	0.77	0.08
2	0.08	0.84	0.09
2	0.06	0.89	0.05
2	0.74	0.10	0.15
2	0.01	0.98	0.01
2	0.04	0.91	0.05
2	0.04	0.91	0.05
2	0.02	0.89	0.09

3	0.36	0.01	0.64
3	0.01	0.00	0.99
3	0.17	0.00	0.83
3	0.33	0.00	0.67
3	0.22	0.04	0.75
3	0.25	0.01	0.74
3	0.25	0.33	0.43
3	0.23	0.52	0.26
3	0.07	0.01	0.92
3	0.06	0.00	0.94
3	0.57	0.01	0.42
3	0.00	0.13	0.87
3	0.28	0.01	0.71
3	0.05	0.38	0.57
3	0.10	0.11	0.80
3	0.11	0.02	0.87
3	0.04	0.00	0.96
3	0.20	0.00	0.80
3	0.06	0.00	0.94
3	0.50	0.36	0.14
3	0.31	0.08	0.62
3	0.05	0.01	0.94
3	0.09	0.00	0.91
3	0.12	0.00	0.87
3	0.05	0.00	0.95
3	0.20	0.00	0.80
3	0.75	0.04	0.20
3	0.35	0.02	0.64
3	0.11	0.03	0.86
