574	21.9	2577	46.3
592	18.6	2766	55.8
664	18.6	2812	54.5
667	19.1	2893	63.5
718	19.2	2957	60.3
770	16.9	3052	64.8
927	18.3	3151	69.2
947	17.2	3161	74.7
1020	19.0	3266	72.9
1096	19.0	3386	80.4
1277	18.6	3452	83.0
1323	22.8	3521	86.0
1330	24.6	3543	88.9
1599	24.9	3676	96.8
1639	29.2	3741	89.1
1787	32.0	3844	100.9
1790	27.9	3878	103.0
1794	31.0	4002	113.4
1874	30.7	4114	111.4
2049	35.4	4152	119.9
2132	36.1	4252	127.2
2160	39.1	4290	126.4
2292	42.6	4331	135.5
2312	39.9	4332	138.9
2475	46.2	4390	143.7
2489	50.9	4393	144.8
2490	46.5		
