5.2	3.2	1.9	4.7	4.5	2.6	4.1
3.0	2.3	2.0	1.1	2.8	2.2	0.5
3.0	3.1	1.6	0.4	0.7	4.0	3.0
2.7	2.2	1.6	0.6	3.8	3.4	2.4
1.7	2.5	1.7	1.5	2.5	2.6	2.8
7.2	1.5	3.7	2.1	1.0	3.9	0.8
3.8	1.9	1.5	1.6	4.0	0.5	1.9

5.8	2.8	6.7	3.4	3.8	4.9	6.2
5.8	2.6	3.7	3.2	1.1	2.0	2.4
4.8	1.4	3.2	1.8	2.3	2.8	1.5
6.4	2.9	3.1	2.5	0.8	2.9	2.8
1.8	2.0	4.0	2.1	2.4	1.9	0.9
3.9	2.4	0.9	1.7	3.3	1.6	2.2
3.7	3.1	2.3	0.8	3.4	0.1	2.1

2.1	2.9	2.7	1.8	1.1	3.1	3.6
2.8	2.7	2.4	4.5	2.6	0.9	3.2
3.3	2.6	2.8	3.0	2.6	3.9	3.2
1.8	2.9	1.8	2.5	2.0	4.8	2.7
4.0	1.6	2.6	2.6	2.6	3.4	4.1
3.8	1.9	3.1	2.6	3.6	1.8	1.1
2.5	5.9	2.5	2.5	2.5	4.3	5.3
