1	4.90	4.50	7.84	5.46	5.08	4.32	3.91	3.99	4.15	4.41
2	4.61	4.65	7.90	6.13	4.45	4.17	4.96	4.36	4.26	4.13
3	5.37	5.35	7.94	5.64	5.06	5.49	4.77	4.48	4.39	4.45
4	5.10	5.22	7.20	4.95	4.45	3.88	3.65	4.21	-1.00	4.44
5	5.34	4.91	5.69	8.21	2.97	4.30	4.18	4.93	5.16	5.54
6	6.24	5.04	8.72	4.85	5.57	6.33	4.81	4.55	4.48	5.15
1	4.91	4.18	9.00	9.74	6.95	6.92	4.66	3.45	4.20	4.63
2	4.16	3.42	7.09	6.98	6.13	5.36	6.13	3.67	4.37	4.31
3	4.95	4.40	7.00	7.80	7.78	7.30	5.82	5.14	3.59	4.00
4	3.82	4.00	6.56	6.48	5.66	7.74	4.45	4.07	3.73	3.58
5	3.76	4.70	6.76	4.98	5.02	5.95	4.90	4.79	5.25	5.42
6	4.13	3.95	5.53	8.55	7.09	5.34	5.56	4.23	3.95	4.29
1	4.22	4.92	8.09	6.74	4.30	4.28	4.59	4.49	5.29	4.95
2	4.52	4.22	8.46	9.12	7.50	6.02	4.66	4.69	4.26	4.29
3	4.47	4.47	7.95	7.21	6.35	5.58	4.57	3.90	3.44	4.18
4	4.27	4.33	6.61	6.89	5.64	4.85	4.82	3.82	4.31	3.81
5	4.81	4.85	6.08	8.28	5.73	5.68	4.66	4.62	4.85	4.69
6	4.61	4.68	6.01	7.35	6.38	6.16	4.41	4.96	4.33	4.54
1	4.05	3.78	8.71	7.12	6.17	4.22	4.31	3.15	3.64	3.88
2	3.94	4.14	7.82	8.68	6.22	5.10	5.16	4.38	4.22	4.27
3	4.19	4.22	7.45	8.07	6.84	6.86	4.79	3.87	3.60	4.92
4	4.31	4.45	7.34	6.75	7.55	6.42	5.75	4.56	4.30	3.92
5	4.30	4.71	7.44	7.08	6.30	6.50	4.50	4.36	4.83	4.50
6	4.45	4.12	7.14	5.68	6.07	5.96	5.20	4.83	4.50	4.71
1	5.03	4.99	9.10	10.03	9.20	8.31	7.92	4.86	4.63	3.52
2	4.51	4.50	8.74	8.80	7.10	8.20	7.42	5.79	4.85	4.94
3	4.87	5.12	6.32	9.48	9.88	6.28	5.58	5.26	4.10	4.25
4	4.55	4.44	5.56	8.39	7.85	7.40	6.23	4.59	4.31	3.96
5	4.79	4.82	9.29	8.99	8.15	5.71	5.24	4.95	5.06	5.24
6	4.33	4.48	8.06	8.49	4.50	7.15	5.91	4.27	4.78	-1.00
1	4.60	4.72	9.53	10.02	10.25	9.29	5.45	4.82	4.09	3.52
2	4.33	4.10	4.36	6.92	9.06	8.11	5.69	5.91	5.65	4.58
3	4.42	4.07	5.48	9.05	8.04	7.19	4.87	5.40	4.35	4.51
4	4.38	4.54	8.86	10.01	10.47	9.91	6.11	4.37	3.38	4.02
5	5.06	5.04	8.86	9.97	8.45	6.58	4.74	4.28	4.04	4.34
6	4.43	4.75	6.95	6.64	7.72	7.03	6.38	5.17	4.71	5.14
