68644	1.891	10.00
68952	1.891	19.00
69261	1.891	17.50
69543	1.891	16.00
69871	1.864	19.50
70024	1.891	10.60
70338	1.896	16.00
70603	1.896	16.00
70863	1.964	14.00
71131	1.964	15.00
71394	1.982	14.75
71596	1.887	12.00
71772	2.014	10.00
71984	1.932	11.00
72254	2.041	18.00
72448	2.018	Ä
72613	2.018	10.50
73053	1.882	21.00
73268	Ä	14.00
73483	1.964	13.00
73690	2.087	11.00
73989	2.132	18.50
74156	2.255	12.00
74328	50.3 p/litre	Ä
74494	2.296	12.00
74692	50.5 p/litre	12.00
74919	2.118	14.79
75277	2.128	21.00
75520	2.028	17.00
75745	1.964	15.00
75878	1.928	9.00
76047	1.928	10.00
