1	.386	.270	78	41
2	.374	.282	79	56
3	.393	.277	81	63
4	.425	.280	80	68
5	.406	.272	76	69
6	.344	.262	78	65
7	.327	.275	82	61
8	.288	.267	79	47
9	.269	.265	76	32
10	.256	.277	79	24
11	.286	.282	82	28
12	.298	.270	85	26
13	.329	.272	86	32
14	.318	.287	83	40
15	.381	.277	84	55
16	.381	.287	82	63
17	.470	.280	80	72
18	.443	.277	78	72
19	.386	.277	84	67
20	.342	.277	86	60
21	.319	.292	85	44
22	.307	.287	87	40
23	.284	.277	94	32
24	.326	.285	92	27
25	.309	.282	95	28
26	.359	.265	96	33
27	.376	.265	94	41
28	.416	.265	96	52
29	.437	.268	91	64
30	.548	.260	90	71
