5	11	17	21	15	17	23	25	30	22
36	29	33	43	54	55	59	44	58	66
59	55	67	75	82	98	94	85	92	102
113	122	153	155	193	197	207	258	305	332
318	378	57	540	592	646	773	787	783	695
774	759	692	559	557	499	431	421	353	315
343	306	262	265	254	225	246	225	196	150
118	114	99	121	106	112	122	120	126	126
141	122	122	115	119	166	135	154	120	162
156	175	193	162	178	201	214	230	216	229
214	197	170	181	183	144	114	120	132	109
108	97	102	89	71	92	58	65	55	5
40	42	46	47	37	49	38	29	34	42
45	42	40	59	42	35	41	35	48	4
47	49	37	40	33	33	37	29	26	38
22	27	27	13	18	25	24	21	16	24
14	23	21	17	17	21	10	14	18	16
21	6								
